Nombre del proyecto,ID del proyecto,Número del proyecto,Costo de lista ($),Ahorros negociados ($),Programas de ahorros ($),Otros ahorros ($),Subtotal sin redondear ($),Subtotal ($),Cambio porcentual en el subtotal en comparación con el período anterior
joinflower-dev,flora-471805,708265049038,135567,0,0,-17944,117622.839612,117623,10%
,,,,,,Subtotal,117622.839612,117623
,,,,,,Impuesto,0.000000,0
,,,,,,Facturación total,117623.000000,117623
