fila_excel,pedido,producto,cantidad,error
2410,92131.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2413,92135.0,Virgen  Milagrosa Grande,1,producto no encontrado
2417,92138.0,Flora Box Mediana Pastel,1,producto no encontrado
2418,92142.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2420,92139.0,Mini Box Orquidea,1,producto no encontrado
2425,92144.0,Guacal Hortensias,1,producto no encontrado
2426,92146.0,Mini Box Claveles,1,producto no encontrado
2427,92148.0,Mini Box Orquidea,1,producto no encontrado
2428,92149.0,Mini Box Orquidea,1,producto no encontrado
2429,92153.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2432,92154.0,Mini Box Orquidea,1,producto no encontrado
2437,92158.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2438,92160.0,Mini Box Orquidea,1,producto no encontrado
2440,92162.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2445,92167.0,Mini Box Orquidea,1,producto no encontrado
2447,92169.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2448,92171.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2450,92175.0,Mini Box Orquidea,1,producto no encontrado
2457,92179.0,Bouquet Orquidea,1,producto no encontrado
2458,92180.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2460,92181.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2462,92183.0,Cerámica Sweet Pea,1,producto no encontrado
2463,92184.0,Mini Box Orquidea,1,producto no encontrado
2464,92187.0,Cerámica Sweet Pea,1,producto no encontrado
2465,92186.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2466,92189.0,Flora Box Lirios NARANJAS,1,producto no encontrado
2467,92188.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2470,92192.0,Mini Box Orquidea,1,producto no encontrado
2472,92194.0,Arreglo Personalizado 6 tulipanes,1,producto no encontrado
2475,92197.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2479,92203.0,Mini Box Orquidea,1,producto no encontrado
2484,92206.0,Mini Box Orquidea,1,producto no encontrado
2488,92208.0,Flora Box Mediana Pastel,1,producto no encontrado
2489,92209.0,Marquito Orquidea ponerle más rosas blancas ojooo,1,producto no encontrado
2490,92210.0,Bouquet Flora Antique OJO EN TONOS PASTELES,1,producto no encontrado
2491,92211.0,Corazón Mediano Surtido,1,producto no encontrado
2496,92218.0,Guacal Hortensias,1,producto no encontrado
2499,92219.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2500,92226.0,Cerámica Sweet Pea,1,producto no encontrado
