fila_excel,pedido,producto,cantidad,error
2502,92224.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2505,92227.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2509,92229.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2513,92234.0,Bouquet Surtido,1,producto no encontrado
2516,92235.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2520,92240.0,BOUQUET DE MARGARITAS BLANCAS Y LILAS,1,producto no encontrado
2524,92244.0,Marquito como el degirasol pero surtido con rosas amarillas,1,producto no encontrado
2527,92247.0,bouquet de 12 rosas,1,producto no encontrado
2533,92253.0,arreglo mujer en rosados como foto,1,producto no encontrado
2536,92257.0,Canasto Aire,1,producto no encontrado
2537,92255.0,Mini Box Orquidea,1,producto no encontrado
2539,92258.0,Mini Box Orquidea,1,producto no encontrado
2541,92262.0,Mini Box Orquidea,1,producto no encontrado
2542,92263.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2543,92264.0,Flora Box Mediana Pastel,1,producto no encontrado
2544,92267.0,Mini Box Orquidea,1,producto no encontrado
2554,92271.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2558,92276.0,Mini Box Orquidea,1,producto no encontrado
2562,92283.0,Bouquet Aire,1,producto no encontrado
2563,92281.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2566,92284.0,CAJA MEDIANA CON TULIPANES NARANJA,1,producto no encontrado
2572,92290.0,Mini Box Orquidea,1,producto no encontrado
2577,92295.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2578,92297.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2579,92298.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2582,92299.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2588,92304.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2591,92307.0,Flora Box Mediana Pastel,1,producto no encontrado
2597,92308.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2598,92311.0,Bouquet Aire,1,producto no encontrado
2600,92314.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
