fila_excel,pedido,producto,cantidad,error
2704,92416.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2705,92419.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2706,92420.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2707,92418.0,Mini Box Orquidea,1,producto no encontrado
2718,92430.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2719,92431.0,Flora Mini Plus Box Redonda,1,producto no encontrado
2720,92432.0,Mini Box Orquidea,1,producto no encontrado
2723,92437.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2725,92439.0,Canasto Mediano Sweet,1,producto no encontrado
2728,92441.0,Canasto Mediano Sweet,1,producto no encontrado
2736,92452.0,Flora Box Romantic 24 Rosas,1,producto no encontrado
2737,92447.0,bouquet surtido,1,producto no encontrado
2747,92464.0,Flora Box Solitario Tulipan,1,producto no encontrado
2750,92457.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2752,92460.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2753,92461.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2754,92462.0,Bouquet Aire,1,producto no encontrado
2755,92465.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2757,92463.0,Canasto Lavanda,1,producto no encontrado
2758,92467.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2759,92472.0,Flora Box Lirios naranja,1,producto no encontrado
2767,92474.0,Bouquet 30 Rosas Rojas,1,producto no encontrado
2771,92478.0,mini box hortensias y mini rosas,1,producto no encontrado
2774,92484.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2780,92485.0,Mini Box Orquidea,1,producto no encontrado
2781,92487.0,Canasto Mediano Sweet,1,producto no encontrado
2782,92488.0,Mini Box Orquidea,1,producto no encontrado
2784,92490.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2786,92492.0,Canasto Mediano Sweet,1,producto no encontrado
2790,92494.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2791,92496.0,Mini Box Orquidea,1,producto no encontrado
2798,92502.0,Mini Box Orquidea,1,producto no encontrado
2800,92503.0,Cerámica Sweet Pea,1,producto no encontrado
2801,92505.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
