fila_excel,pedido,producto,cantidad,error
2709,92452.0,Flora Box Romantic 24 Rosas,1,producto no encontrado
2728,92472.0,Flora Box Lirios naranja,1,producto no encontrado
2734,92474.0,Bouquet 30 Rosas Rojas,1,producto no encontrado
2738,92478.0,mini box hortensias y mini rosas,1,producto no encontrado
2778,92519.0,Flora Box Mediana Pastel,1,producto no encontrado
2780,92521.0,Marquito Orquidea M,1,producto no encontrado
2782,92525.0,Flora Box Solitario Rosa ROSADA,3,producto no encontrado
2794,92536.0,Canasto 100 rosas rojas,1,producto no encontrado
2795,92557.0,Flora Box Romantic Flores 24 Rosas M/18,1,producto no encontrado
2802,92539.0,Mini Box Orquidea M/22,1,producto no encontrado
2804,92543.0,solitario rosa blanca o rosada en capuchón plástico,16,producto no encontrado
2805,92545.0,Mini Box Orquidea M/22,1,producto no encontrado
2806,92544.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2808,92549.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2809,92548.0,Canasto Lavanda M/3,1,producto no encontrado
2812,92551.0,Canasto Mediano Sweet M/4,1,producto no encontrado
2814,92554.0,Bouquet tulipanes (10),1,producto no encontrado
2815,92553.0,Flora Box Solitario rosa  1× Vino Espumoso JP. Chenet 175 ml,1,producto no encontrado
2817,92556.0,Mini Box Orquidea M/22,1,producto no encontrado
2820,92563.0,Guacal Hortensias M/13,1,producto no encontrado
2821,92560.0,bouquet como foto,1,producto no encontrado
2823,92561.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2825,92565.0,Flora Box Romantic Flores 24 Rosas M/18,1,producto no encontrado
2827,92574.0,Guacal Hortensias M/13,1,producto no encontrado
2828,92575.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2829,92569.0,Cerámica Sweet Pea M/16,1,producto no encontrado
2832,92570.0,Flora Box Mediana 24 Rosas adicionarle una orquídea,1,producto no encontrado
2834,92573.0,BOUQUET SURTIDO COMO FOTO,1,producto no encontrado
2835,92577.0,Flora Box Solitario Tulipan M/24,5,producto no encontrado
2836,92578.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2837,92576.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2839,92580.0,Flora Box Solitario Tulipan M/24,2,producto no encontrado
2844,92590.0,Cerámica Sweet Pea M/16,1,producto no encontrado
2847,92588.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2850,92592.0,Mini Box Orquidea M/22,1,producto no encontrado
2852,92591.0,Flora Box Grande Pastel / topper welcome baby,1,producto no encontrado
2854,92601.0,Mini Box Orquidea M/22,2,producto no encontrado
2856,92605.0,Cabeza Mujer M/15,1,producto no encontrado
2857,92595.0,Canasto 24 Rosas + Orquideas M/2,1,producto no encontrado
2862,92608.0,bouquet novia con cartuchos,1,producto no encontrado
2863,92602.0,mini box clavel rosado,1,producto no encontrado
2865,92607.0,Flora Box Romantic Flores 12 Rosas M/18,1,producto no encontrado
2866,92603.0,Mini Box Orquidea M/22,1,producto no encontrado
2867,92604.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2872,92611.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2873,92613.0,Flora Mini Plus Box Redonda M/21,1,producto no encontrado
2878,92618.0,Mini Box Claveles M/23/ Flora mini plus redonda,1,producto no encontrado
2879,92622.0,Encanto flora  M/15,1,producto no encontrado
2880,92620.0,Corazón Mini Surtido M/12,1,producto no encontrado
2881,92621.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2884,92624.0,10 ROSAS ROJAS,1,producto no encontrado
2886,92628.0,Canasto Lavanda M/3,1,producto no encontrado
2888,92627.0,solitario rosas fucsia #20,1,producto no encontrado
2889,92630.0,10 solitarios rosas fucsias,10,producto no encontrado
2891,92631.0,Guacal Hortensias M/13,1,producto no encontrado
2892,92632.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2893,92634.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2894,92635.0,Cerámica Sweet Pea M/16,1,producto no encontrado
2896,92643.0,Flora Box Solitario Tulipan M/24,1,producto no encontrado
2901,92642.0,Encanto flora  M/15,1,producto no encontrado
2901,92642.0,Mini Box Orquidea M/22,1,producto no encontrado
2902,92644.0,Bouquet Surtido M/5,1,producto no encontrado
2906,92656.0,Mini Box Orquidea M/22,1,producto no encontrado
2907,92648.0,Flora Box Redonda 24 Rosas de Jardin M/17,1,producto no encontrado
2907,92648.0,Canasto Mediano Sweet M/4,1,producto no encontrado
2909,92728.0,Mini Box Claveles M/23,1,producto no encontrado
2910,92652.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2912,92657.0,Mini Box Claveles M/23,1,producto no encontrado
2914,92653.0,Flora Box Solitario Tulipan M/24,1,producto no encontrado
2916,92655.0,Canasto 24 Rosas + Orquideas M/2,1,producto no encontrado
2918,92662.0,Mini Box Orquidea M/22,1,producto no encontrado
2919,92670.0,8 Solitarios de Tulipán,1,producto no encontrado
2921,92659.0,Mini Box Orquidea M/22,1,producto no encontrado
2922,92660.0,Mini Box Claveles M/23,1,producto no encontrado
2923,92664.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2924,92661.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2925,92673.0,Mini Box Orquidea M/22,1,producto no encontrado
2926,92663.0,Canasto Lavanda M/3,1,producto no encontrado
2927,92665.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2933,92669.0,Canasto Lavanda M/3,1,producto no encontrado
2935,92675.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2936,92672.0,9 rosas sueltas,1,producto no encontrado
2937,92680.0,Encanto flora  M/15,1,producto no encontrado
2938,92685.0,Mini Box Claveles M/23,1,producto no encontrado
2939,92711.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2940,92683.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2942,92677.0,Canasto Lavanda M/3,1,producto no encontrado
2945,92679.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2946,92691.0,Mini Box Orquidea M/22,1,producto no encontrado
2948,92688.0,Flora Mini Plus Box Redonda M/21,1,producto no encontrado
2949,92690.0,Mini Box Orquidea M/22,1,producto no encontrado
2952,92692.0,Mini Box Claveles M/23,1,producto no encontrado
2956,92694.0,Cerámica Sweet Pea M/16,1,producto no encontrado
2957,92710.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2959,92696.0,Mini Box Claveles M/23,1,producto no encontrado
2961,92701.0,Encanto flora  M/15,1,producto no encontrado
2962,92700.0,Corazón Mediano Rosas M/11,1,producto no encontrado
2963,92703.0,Mini Box Claveles M/23,1,producto no encontrado
2963,92703.0,Mini Box Orquidea M/22,1,producto no encontrado
2964,92708.0,Solitario con 2 rosas fucsias,1,producto no encontrado
2965,92706.0,Flora Box Redonda 24 Rosas de Jardin M/17,1,producto no encontrado
2966,92705.0,Canasto Mediano Sweet M/4,1,producto no encontrado
2967,92704.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2968,92707.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2971,92716.0,Flora Mini Plus Box Redonda M/21,1,producto no encontrado
2971,92716.0,Mini Box Orquídea M/22,1,producto no encontrado
2974,92714.0,Flora Mini Plus Box Redonda M/21,1,producto no encontrado
2975,92719.0,Flora Box Romantic Flores 12 Rosas M/18,1,producto no encontrado
2975,92719.0,Guacal Hortensias M/13,1,producto no encontrado
2976,92715.0,Mini Box Orquidea M/22,1,producto no encontrado
2977,92723.0,Canasto Mediano Sweet M/4,2,producto no encontrado
2978,92717.0,Mini Box Orquidea M/22,1,producto no encontrado
2979,92721.0,Bouquet 24 Rosas Rojas M/8,1,producto no encontrado
2982,92725.0,Flora Mini Plus Box Redonda M/21,1,producto no encontrado
2984,92887.0,Mini Box Orquidea M/22,1,producto no encontrado
2985,92754.0,Encanto flora  M/15,1,producto no encontrado
2986,92798.0,Bouquet 12 Rosas Rojas M/9,1,producto no encontrado
2987,92726.0,Canasto Lavanda M/3,1,producto no encontrado
2989,92729.0,Corazón Mini Surtido M/12,1,producto no encontrado
2990,92732.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2992,92733.0,Mini Box Claveles M/23,2,producto no encontrado
2994,92734.0,Cerámica Sweet Pea M/16,1,producto no encontrado
2995,92737.0,Mini Box Claveles M/23,1,producto no encontrado
2996,92738.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2997,92741.0,Mini Box Orquidea M/22,1,producto no encontrado
2997,92741.0,Bouquet 6 Rosas Rojas M/10,1,producto no encontrado
2998,92735.0,Mini Box Orquidea M/22,2,producto no encontrado
2999,92743.0,Mini Box Claveles M/23,1,producto no encontrado
3001,92746.0,Bouquet Surtido M/5,1,producto no encontrado
