fila_excel,pedido,producto,cantidad,error
2004,91742.0,Flora Box Romantic Flores 24 Rosas ROJAS OJOOOO,1,producto no encontrado
2008,91746.0,Bouquet 12 Rosas,1,producto no encontrado
2013,91751.0,Planta de orquidea en una base,1,producto no encontrado
2014,91752.0,Bouquet 12 Rosas ROJAS Y ROSADAS,1,producto no encontrado
2015,91753.0,Bouquet Surtido # 46,1,producto no encontrado
2019,91757.0,Flora Box Mediana Surtida,1,producto no encontrado
2026,91764.0,Flora Heart Mediano,1,producto no encontrado
2033,91771.0,mini box de rosas rojas y amarillas,1,producto no encontrado
2035,91773.0,Bouquet 12 Rosas,1,producto no encontrado
2037,91775.0,Flora Box Mediana Surtida,1,producto no encontrado
2038,91776.0,Bouquet 12 Rosas,1,producto no encontrado
2040,91778.0,Flora Heart Mediano,1,producto no encontrado
2046,91784.0,Bouquet 12 Rosas,1,producto no encontrado
2047,91785.0,Flora Heart Grande,1,producto no encontrado
2051,91789.0,Flora Box Romantic Flores 24 Rosas fenix,1,producto no encontrado
2055,91793.0,Mini Heart Rosas,1,producto no encontrado
2057,91795.0,Mini Box Rosas Rojas,1,producto no encontrado
2061,91799.0,Flora Box Mediana Surtida,1,producto no encontrado
2062,91800.0,Mini Box Rosas Rojas,1,producto no encontrado
2067,91805.0,Bouquet 12 Rosas,1,producto no encontrado
2070,91808.0,Flora Heart Extragrande,1,producto no encontrado
2072,91810.0,Mini Box Rosas Rojas,1,producto no encontrado
2073,91811.0,Marquito Rosas,1,producto no encontrado
2075,91813.0,Mini Box Rosas Rojas,1,producto no encontrado
2077,91815.0,Arreglo Personalizado ( Solitario Girasol),1,producto no encontrado
2079,91817.0,Cerámica Orquidea Aire (base Ceramica mediana),1,producto no encontrado
2090,91828.0,Flora Heart Grande,1,producto no encontrado
2094,91832.0,Bouquet 36 Rosas,1,producto no encontrado
2098,91836.0,Flora Box Mediana Surtida,1,producto no encontrado
2101,91839.0,Flora Box Romantic 24 Rosas,1,producto no encontrado
