fila_excel,pedido,producto,cantidad,error
3202,92862.0,Mini Box Claveles M/23 CLAVEL FUSCIA,1,producto no encontrado
3206,92873.0,Mini Box Claveles M/23 Clavel Amarillo,1,producto no encontrado
3207,92844.0,Bouquet 24 Rosas Rojas M/8   / 2 ENCANTO FLORA BLACO CON ROSADO,1,producto no encontrado
3216,92852.0,Bouquet 12 Rosas Rojas M/9 / 1 ENCANTO FLORA,2,producto no encontrado
3221,92860.0,Arreglo Personalizado Caja solitario,1,producto no encontrado
3227,92869.0,Corazon mediano rosas rojas,1,producto no encontrado
3243,92885.0,Mini Corazon Rosas Rojas,1,producto no encontrado
3246,92886.0,Encanto lila  M/15,1,producto no encontrado
