fila_excel,pedido,producto,cantidad,error
1810,91548.0,Arreglo Personalizado botella de vino,1,producto no encontrado
1814,91552.0,Canasto 24 Rosas + Orquideas ROSAS ROSADAS,1,producto no encontrado
1820,91558.0,Flora Box Mediana Sembrado ROSAS BLANCAS,1,producto no encontrado
1824,91562.0,Flora Box Mediana Pastel,1,producto no encontrado
1827,91565.0,MINI BOX EN ROSAS ROSADAS,1,producto no encontrado
1830,91568.0,Flora Box Mediana Pastel,1,producto no encontrado
1836,91574.0,Flora Box Romantic Flores 24 Rosas ROJAS,1,producto no encontrado
1858,91596.0,Flora Box Solitario girasol,1,producto no encontrado
1859,91597.0,Bouquet 12 Rosas Rosadas,1,producto no encontrado
1861,91599.0,arreglo personalizado como foto,1,producto no encontrado
1879,91617.0,corazon grande de rosas,1,producto no encontrado
1881,91619.0,SAN VALENTIN Mini Box Orquídea,1,producto no encontrado
1886,91624.0,3 lirio blancos,1,producto no encontrado
