fila_excel,pedido,producto,cantidad,error
2105,91843.0,Flora Box Mediana Surtida,1,producto no encontrado
2107,91845.0,Mini Box Rosas Rojas,1,producto no encontrado
2111,91849.0,Bouquet 12 Rosas,1,producto no encontrado
2111,91849.0,Bouquet 6 Rosas,1,producto no encontrado
2113,91851.0,Bouquet 50 Rosas,1,producto no encontrado
2114,91852.0,Flora Heart Grande,1,producto no encontrado
2115,91853.0,Bouquet 12 Rosas,1,producto no encontrado
2118,91856.0,Mini Heart Surtido,1,producto no encontrado
2119,91857.0,Bouquet 6 Rosas,1,producto no encontrado
2120,91858.0,Bouquet 12 Rosas,1,producto no encontrado
2125,91863.0,Bouquet 12 Rosas,1,producto no encontrado
2127,91865.0,Flora Box Mediana Pastel,1,producto no encontrado
2129,91867.0,Flora Box Mediana Surtida,1,producto no encontrado
2131,91869.0,Bouquet 12 Rosas,1,producto no encontrado
2132,91870.0,Bouquet 12 Rosas,1,producto no encontrado
2133,91871.0,Mini Box Rosas Rojas,1,producto no encontrado
2134,91872.0,Bouquet 50 Rosas,1,producto no encontrado
2137,91875.0,Bouquet 50 Rosas,1,producto no encontrado
2144,91882.0,Bouquet 6 Rosas,1,producto no encontrado
2145,91883.0,Flora Box Mediana Surtida,1,producto no encontrado
2146,91884.0,Bouquet 12 Rosas,1,producto no encontrado
2147,91885.0,Bouquet 12 Rosas,1,producto no encontrado
2147,91885.0,Bouquet 6 Rosas   2 tulipanes,1,producto no encontrado
2148,91886.0,Flora Heart Grande,1,producto no encontrado
2151,91889.0,Bouquet 12 Rosas,1,producto no encontrado
2154,91892.0,Flora Heart grande,1,producto no encontrado
2157,91895.0,Bouquet 36 Rosas,1,producto no encontrado
2159,91897.0,Bouquet 12 Rosas,1,producto no encontrado
2163,91901.0,36 rosas rosadas,1,producto no encontrado
2165,91903.0,Mini Box Rosas Rojas,1,producto no encontrado
2167,91905.0,Mini Box Rosas Rojas,1,producto no encontrado
2168,91906.0,Bouquet 6 Rosas,1,producto no encontrado
2169,91907.0,Bouquet 12 Rosas,1,producto no encontrado
2174,91912.0,Flora Heart Mediano,1,producto no encontrado
2175,91913.0,Bouquet 12 Rosas,1,producto no encontrado
2176,91914.0,Bouquet 12 Rosas,1,producto no encontrado
2177,91915.0,Bouquet 50 Rosas,1,producto no encontrado
2178,91916.0,Bouquet 24 Rosas,1,producto no encontrado
2179,91917.0,Flora Heart Grande,1,producto no encontrado
2182,91920.0,Flora Box Romantic 24 Rosas,1,producto no encontrado
2183,91921.0,Bouquet 12 Rosas,1,producto no encontrado
2184,91922.0,Bouquet 24 Rosas,1,producto no encontrado
2185,91923.0,Bouquet 24 Rosas,1,producto no encontrado
2188,91926.0,Flora Box Mediana Surtida,1,producto no encontrado
2189,91927.0,Mini Heart Surtido,1,producto no encontrado
2191,91929.0,Bouquet 36 Rosas,1,producto no encontrado
2193,91931.0,Flora Box Mediana Surtida,1,producto no encontrado
