fila_excel,pedido,producto,cantidad,error
2603,92316.0,Cerámica Sweet Pea,1,producto no encontrado
2609,92322.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2610,92323.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2611,92324.0,Flora Mini Plus Box Redonda,1,producto no encontrado
2614,92329.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2620,92331.0,Mini Box Orquidea,1,producto no encontrado
2623,92336.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2624,92373.0,Mini Box Orquidea,3,producto no encontrado
2630,92344.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2631,92343.0,Mini Box Orquidea,1,producto no encontrado
2632,92369.0,Mini Box Orquidea,1,producto no encontrado
2634,92347.0,Mini Box Orquidea,1,producto no encontrado
2638,92346.0,2 centros de mesa en flores surtidas,1,producto no encontrado
2640,92353.0,Flora Mini Plus Box Redonda,1,producto no encontrado
2641,92351.0,Virgen de la salud,1,producto no encontrado
2645,92356.0,Canasto Lavanda,1,producto no encontrado
2646,92357.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2647,92363.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2648,92360.0,Bouquet 12 Rosas Rosadas,1,producto no encontrado
2654,92366.0,Canasto Mediano Sweet,1,producto no encontrado
2655,92367.0,Flora Mini Plus Box Redonda,1,producto no encontrado
2657,92372.0,Mini Box Claveles,1,producto no encontrado
2659,92374.0,Guacal Hortensias,1,producto no encontrado
2660,92376.0,Flora Box Mediana Pastel / topper welcome baby,1,producto no encontrado
2662,92378.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2666,92382.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
2670,92386.0,Flora Box Redonda 24 Rosas de Jardin,1,producto no encontrado
2673,92388.0,Guacal Hortensias topper happy bdh,1,producto no encontrado
2678,92392.0,Canasto Aire,1,producto no encontrado
2685,92400.0,Flora Box Solitario Rosa con 3 rosas rosadas,1,producto no encontrado
2686,92402.0,Mini Box Orquidea,1,producto no encontrado
2691,92406.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
2694,92408.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
2701,92417.0,Flora Mini Plus Box Redonda,1,producto no encontrado
