fila_excel,pedido,producto,cantidad,error
2450,92189.0,Flora Box Lirios NARANJAS,1,producto no encontrado
2456,92194.0,Arreglo Personalizado 6 tulipanes,1,producto no encontrado
2471,92208.0,Flora Box Mediana Pastel,1,producto no encontrado
2472,92209.0,Marquito Orquidea ponerle más rosas blancas ojooo,1,producto no encontrado
2473,92210.0,Bouquet Flora Antique OJO EN TONOS PASTELES,1,producto no encontrado
2502,92240.0,BOUQUET DE MARGARITAS BLANCAS Y LILAS,1,producto no encontrado
2506,92244.0,Marquito como el degirasol pero surtido con rosas amarillas,1,producto no encontrado
2509,92247.0,bouquet de 12 rosas,1,producto no encontrado
2515,92253.0,arreglo mujer en rosados como foto,1,producto no encontrado
2525,92264.0,Flora Box Mediana Pastel,1,producto no encontrado
2546,92284.0,CAJA MEDIANA CON TULIPANES NARANJA,1,producto no encontrado
2570,92307.0,Flora Box Mediana Pastel,1,producto no encontrado
2614,92346.0,2 centros de mesa en flores surtidas,1,producto no encontrado
2617,92351.0,Virgen de la salud,1,producto no encontrado
2624,92360.0,Bouquet 12 Rosas Rosadas,1,producto no encontrado
2636,92376.0,Flora Box Mediana Pastel / topper welcome baby,1,producto no encontrado
2649,92388.0,Guacal Hortensias topper happy bdh,1,producto no encontrado
2661,92400.0,Flora Box Solitario Rosa con 3 rosas rosadas,1,producto no encontrado
