fila_excel,pedido_id,barrio,error
510,2364,Ciudad Jardín Modelo,barrio no encontrado
515,2369,Recoger en Tienda,barrio no encontrado
517,2370,Recoger en Tienda,barrio no encontrado
522,2374,Recoger en Tienda,barrio no encontrado
523,2375,Recoger en Tienda,barrio no encontrado
527,2379,Recoger en Tienda,barrio no encontrado
530,2382,Recoger en Tienda,barrio no encontrado
533,2385,Recoger en Tienda,barrio no encontrado
534,2386,Recoger en Tienda,barrio no encontrado
540,2391,Recoger en Tienda,barrio no encontrado
552,2402,Recoger en Tienda,barrio no encontrado
558,2408,Recoger en Tienda,barrio no encontrado
560,2410,Recoger en Tienda,barrio no encontrado
566,2415,Recoger en Tienda,barrio no encontrado
573,2422,Recoger en Tienda,barrio no encontrado
575,2423,Recoger en Tienda,barrio no encontrado
579,2426,Recoger en Tienda,barrio no encontrado
580,2427,Recoger en Tienda,barrio no encontrado
587,2432,Recoger en Tienda,barrio no encontrado
589,2434,Recoger en Tienda,barrio no encontrado
590,2435,Recoger en Tienda,barrio no encontrado
592,2437,Recoger en Tienda,barrio no encontrado
593,2438,Recoger en Tienda,barrio no encontrado
594,2439,Ciudad Jardín Modelo,barrio no encontrado
598,2443,Recoger en Tienda,barrio no encontrado
599,2444,Recoger en Tienda,barrio no encontrado
604,2448,Recoger en Tienda,barrio no encontrado
612,2456,Recoger en Tienda,barrio no encontrado
616,2460,Recoger en Tienda,barrio no encontrado
624,2466,Recoger en Tienda,barrio no encontrado
625,2467,Recoger en Tienda,barrio no encontrado
634,2472,Recoger en Tienda,barrio no encontrado
641,2479,Ciudad Jardín Modelo,barrio no encontrado
654,2484,Recoger en Tienda,barrio no encontrado
661,2490,Recoger en Tienda,barrio no encontrado
667,2496,Recoger en Tienda,barrio no encontrado
668,2497,Recoger en Tienda,barrio no encontrado
673,2500,Recoger en Tienda,barrio no encontrado
676,2503,Recoger en Tienda,barrio no encontrado
678,2504,Recoger en Tienda,barrio no encontrado
679,2505,Recoger en Tienda,barrio no encontrado
683,2509,Recoger en Tienda,barrio no encontrado
687,2512,Recoger en Tienda,barrio no encontrado
688,2513,Recoger en Tienda,barrio no encontrado
695,2519,Recoger en Tienda,barrio no encontrado
696,2520,Recoger en Tienda,barrio no encontrado
701,2525,Recoger en Tienda,barrio no encontrado
